#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person1# recommends Mei Hong to go to Xi'an by air and will book a ticket for Mei Hong.	April Fools' Day
#Person1# wants to make dinner but has no idea what to cook.	a nightmare
#Person2# is buying presents for a friend and #Person1# tells #Person1# to keep the receipt in case of any exchange.	film a movie
#Person1# wants to modify the terms of payment and packaging in the draft contract.	buy coffee
#Person2# quite enjoys the meal and #Person1# will serve #Person2# an apple crisp, a chocolate mousse cake, and four coffees.	a show
#Person2# wants to apply for a loan supporting #Person2#'s son's study abroad and #Person1# tells #Person2# details of the loan.	ice water delivery
#Person2# tries the best to take #Person1# to the Grand Hotel.	breaking traffic rules
#Person1# was worried about her brother when #Person1# talks about the meeting.	unemployment check
#Person1# wants to buy a ticket for the next flight to Berlin.	reasons for rudeness
Both #Person1# and #Person2# feel tired when preparing the entrance exam.	natural disaster
#Person2# tells #Person1# the postage and the weight of the letter and asks #Person1# to write down the postal code.	today's weather
#Person1# serves #Person2# and #Person2# orders a drink and appetizer first and then orders food for the dinner.	showing the way
#Person1# is sending a package and #Person2# instructs #Person1# how to buy bubble wrap and post a package.	cosmetic surgery
#Person1# and #Person2# are making divorce and dividing their stuff.	misfortune
#Person2# calls the San Felice Hotel to book a room for three nights with a view over the lake.	communication habits
Phillip sends #Person1# to his parents' home and tells #Person2# where #Person1# needs to go in the following days.	company retreat
#Person1# helps #Person2# order 3 sandwiches with different requirements, 3 cokes and a large bag of chips.	bus pass
#Person1# tells #Person2#, who wants to buy a vest for her grandpa, the location of the Clothing Department.	buying cloth
#Person1# is interested in Chinese antiques.	good preparation
#Person1# is catching flight 513 to New York.	means of transportation
#Person1# won two tickets for tonight's final NBA game and will take #Person2#, who is excited about that, together.	 cooking
#Person1# has to think about whether to take the new job or not, although #Person1# advises him to take it.	buying gifts
#Person1# tries to persuade #Person2# to take a vacation because they have been working hard.	contract modification
#Person2# took some barney tour pamphlets from a travel agency and is planning to sign up for a tour.	checking in
#Person2# calls to talk to Petti.	overseas study loan
#Person1# explains the temple fair to #Person2# and invites her to go to the Tianqiao Temple Fair together.	annual health examination
#Person1# and #Person2# both like Julia Roberts and admire her for her concern about society.	brother
#Person2# wants to view the apartment.	stay healthy
#Person1# is interested in #Person2#'s hardware and asks #Person2# to give him an indication of price.	entrance exam.
#Person1# will bring #Person2# to the Louvre.	mailing a package
#Person1# and #Person2# agree that the new general manager makes people uneasy and they should be more careful.	park the automobile
#Person1# and #Person2# admires #Person3#'s voice and dance.	a pilot
#Person2#'s air conditioner is not powerful enough.	a pleasant talk
#Person1# decides to visit the city by limo after hearing #Person2#'s advice.	sending a package
#Person2# tells #Person1# #Person2# does a forty-hour week, has four-week long holidays a year, and does overtime if needed.	room booking
Li with Silk Company wants to show #Person1# more information about their products.	caring about Simon
#Person1# isn't satisfied with a product and requests a refund.	family portrait
#Person1# is going to move into #Person1#'s new house.	day planning
#Person2# tells #Person1# when they get Hayfield Road and volunteers to show #Person1# how to get to the new Technical College.	buying sandwitches
#Person2# tells #Person1# the next train to Bournemouth leaves from Platform 13.	Chinese antiques
#Person1# is going to have a debate on advertising.	picture I.D.
#Person2# tells #Person1# the way to the nearest shoe shop and how to get there by bus.	final NBA game
#Person1# thinks #Person2# is the best candidate for chairman of the student union, but #Person2# isn't sure he'll win.	take a vacation
#Person1# tells #Person1# she had a horrible day.	holiday plan
#Person1#'s dad wants a lovely view, while #Person1# wants their rooms together.	misdial
#Person1# and #Person2# are looking for Buster.	temple fair
#Person1# tells #Person2# the good news that #Person2# will be Miranda's new assistant.	exhibition
#Person1# wants to rent a bike with a helmet.	Julia Roberts
#Person1# helps #Person1# to work on the class diary for next week.	umemployment
#Person2# is reading a book written by a guy who was born without arms or legs.	side effects
#Person1# interviews #Person2# on #Person2#'s cost of living in the city.	rookie
#Person2# suggests taking the bus to the theatre.	view the apartment
#Person1# fell asleep and water overflowed from the bathtub.	substantial business
#Person1# feels much better now and tells the doctor that #Person1# wants to go home.	the Louvre
#Person1# doesn't know about tax-free allowance.	take the order
#Person2# checks the document status from #Person1#.	new general manager
#Person1# wants to make a copy of a document.	sing a song
#Person1# wants to purchase a insurance.	air conditioner
#Person2# asks about the magazine #Person1# bought.	save money
#Person2# complains about #Person1# and their marriage.	flexi-time
#Person1# wants to visit Florida for the sunshine.	have a meeting
#Person1# wants the goods to be delivered by the end of September.	unlucky number
#Person2# wants some Traveller's Cheques for a business trip from #Person1#.	premarital contracting
#Person2# allows #Person1# to call #Person3# again around ten.	chairman
#Person1# makes an appointment with #Person2# for house viewing.	French coffee
#Person2# asks #Person1# to show him around the exhibition.	unfair treatment
Pratt was employed but #Person1# was not because he didn't pay attention to the etiquette.	lost dog
#Person2# can't check out the books until the late fees are paid.	new assistant
#Person1# wants to rent a furnished studio from #Person2#.	favourite restaurant
#Person1# thinks #Person2# is a good movie.	rent a bike
#Person1# and #Person2# talk about their daily schedules.	bathroom roomservice
#Person1# asks #Person2# about the vacation plan.	medical consultation
#Person1# asks how #Person2# spends day and weekends, and what #Person2# does for exercise.	tax declaration
#Person1# describes the new sports center to #Person2# and invites her to go there together.	copy a document
#Person2# updates #Person1# and #Person3# about the preparation for the presentation at a training workshop.	insurance
#Person2# met a girl but can't tell if it's a crush or real love.	magazine
#Person1# thinks #Person2# bought the other handset, but #Person2# changed the case because #Person2# bought all cases.	hair
#Person1# and #Person2# both think highly of the restaurant.	fix the pipe
#Person2# gave #Person1# a tour of the factory.	shipment
#Person1# and #Person2# meet for the first time.	Traveller's Cheques
#Person1# phones #Person2# to ask about what to do on #Person1#'s arrival for the factory visit.	send a parcel
#Person1# asks #Person2# if he wants something to eat or drink.	look at houses
#Person1# tells #Person2# about an interesting TV program about elderly people.	have fun
#Person1# found a great school for Junior and describes it to #Person2#, although they haven't had their baby.	unpaid late fees
#Person2# calls Room Service to ask for breakfast and today's paper.	library
#Person1# recommends a bracelet designed by #Person1# to #Person2#.	submit an essay
#Person2#'s left-handed and works slowly.	vacation
#Person1# thinks the soup lacks certain tastes.	daily routine
#Person1# comes for a radio he bought yesterday that doesn't work.	sports center
Neither #Person1# nor #Person2# feels satisfied with the food in the university cafeteria.	borrow clothes
#Person1# and #Person2# cannot stand the heat and miss the old days with nice weather.	love
#Person1# tells #Person1# about her holiday during which she studied a lot.	medical diagnostics
#Person1# complains to #Person2# about David, who controls the conversation all the time.	handset
#Person1# and #Person2# are discussing whether #Person3#'s birthday party will be crowded and what to take as a gift.	puppy
#Person1# orders cream soup and well-done steak with #Person2#'s assistance.	buy cosmetics
#Person2# recommends a suit to #Person1#.	factory tour
#Person1# just came back from America.	work
#Person1# shares the rumour that Trusten Tools is going bankrupt.	loud music
